city_id,date,average_temp_celsius
2,17-05-2019,12.8
2,18-05-2019,13.3
2,19-05-2019,13.9
2,20-05-2019,12.9
2,21-05-2019,14.2
2,22-05-2019,14.8
2,23-05-2019,15.8
2,24-05-2019,17.9
2,25-05-2019,17.3
2,26-05-2019,16.5
2,27-05-2019,15.7
2,28-05-2019,13.5
2,29-05-2019,13.4
2,30-05-2019,14.8
2,31-05-2019,18.2
3,16-03-2019,11.4
3,17-03-2019,11
3,18-03-2019,5.8
3,19-03-2019,6.5
3,20-03-2019,7.5
3,21-03-2019,9.3
3,22-03-2019,11.9
3,23-03-2019,12.3
3,24-03-2019,13.3
3,25-03-2019,9.2
3,26-03-2019,6.6
3,27-03-2019,7.6
3,28-03-2019,9.7
3,29-03-2019,11.2
3,30-03-2019,11.6
3,31-03-2019,12.7
3,01-04-2019,13.3
3,02-04-2019,12.8
3,03-04-2019,7.6
3,04-04-2019,4.4
3,05-04-2019,5.9
3,06-04-2019,8.9
3,07-04-2019,9.3
3,08-04-2019,10.4
3,09-04-2019,10.7
3,10-04-2019,10.9
3,11-04-2019,10.3
3,12-04-2019,9.6
3,13-04-2019,8.2
3,14-04-2019,6
3,15-04-2019,11.1
3,16-04-2019,12.1
3,17-04-2019,13.7
3,18-04-2019,15.9
3,19-04-2019,15.7
3,20-04-2019,15.7
3,21-04-2019,15
3,22-04-2019,17.1
3,23-04-2019,16.3
3,24-04-2019,13.4
3,25-04-2019,15.8
3,26-04-2019,10.3
3,27-04-2019,11.4
3,28-04-2019,8
3,29-04-2019,9.3
3,30-04-2019,12
3,01-05-2019,14.3
3,02-05-2019,12.8
3,03-05-2019,12.3
3,04-05-2019,10.1
3,05-05-2019,6
3,06-05-2019,7.7
3,07-05-2019,13.1
3,08-05-2019,13.2
3,09-05-2019,13.3
3,10-05-2019,16.2
3,11-05-2019,12.9
3,12-05-2019,11.5
3,13-05-2019,11.3
3,14-05-2019,11.1
3,15-05-2019,10.7
3,16-05-2019,13.7
3,17-05-2019,12.4
3,18-05-2019,13.4
3,19-05-2019,13.3
3,20-05-2019,13.2
3,21-05-2019,15
3,22-05-2019,16.7
3,23-05-2019,16.8
3,24-05-2019,17.6
3,25-05-2019,17.5
3,26-05-2019,16.4
3,27-05-2019,16.9
3,28-05-2019,13.6
3,29-05-2019,13.1
3,30-05-2019,16.5
3,31-05-2019,18.7
4,16-03-2019,10.9
4,17-03-2019,7.1
4,18-03-2019,5.7
4,19-03-2019,5.6
4,20-03-2019,8.3
4,21-03-2019,7.9
4,22-03-2019,8.3
4,23-03-2019,7.3
4,24-03-2019,7.4
4,25-03-2019,6.9
4,26-03-2019,6.6
4,27-03-2019,8.3
4,28-03-2019,8.3
4,29-03-2019,9.9
4,30-03-2019,12.1
4,31-03-2019,10.2
4,01-04-2019,9.7
4,02-04-2019,9.9
4,03-04-2019,5.1
4,04-04-2019,5.4
4,05-04-2019,7.7
4,06-04-2019,8.8
4,07-04-2019,10.3
4,08-04-2019,10.4
4,09-04-2019,9.8
4,10-04-2019,8.5
4,11-04-2019,5.8
4,12-04-2019,5.7
4,13-04-2019,3.6
4,14-04-2019,3.6
4,15-04-2019,8.2
4,16-04-2019,11
4,17-04-2019,11.2
4,18-04-2019,14.1
4,19-04-2019,15.5
4,20-04-2019,16.2
4,21-04-2019,15.7
4,22-04-2019,16.2
4,23-04-2019,16
4,24-04-2019,15
4,25-04-2019,12
4,26-04-2019,11.2
4,27-04-2019,9.9
4,28-04-2019,8.8
4,29-04-2019,9
4,30-04-2019,9.4
4,01-05-2019,10.5
4,02-05-2019,10.4
4,03-05-2019,9.4
4,04-05-2019,7.2
4,05-05-2019,7.3
4,06-05-2019,7.4
4,07-05-2019,9.3
4,08-05-2019,10.9
4,09-05-2019,10.9
4,10-05-2019,11.2
4,11-05-2019,10.9
4,12-05-2019,8.9
4,13-05-2019,9.8
4,14-05-2019,10.8
4,15-05-2019,11.6
4,16-05-2019,12
4,17-05-2019,11.7
4,18-05-2019,13.2
4,19-05-2019,12.1
4,20-05-2019,12.4
4,21-05-2019,13.1
4,22-05-2019,13.9
4,23-05-2019,15.1
4,24-05-2019,15.1
4,25-05-2019,14.2
4,26-05-2019,15
4,27-05-2019,15.1
4,28-05-2019,12.5
4,29-05-2019,12.6
4,30-05-2019,16
4,31-05-2019,16.3
5,16-03-2019,10.5
5,17-03-2019,10.2
5,18-03-2019,6.1
5,19-03-2019,6.5
5,20-03-2019,7.5
5,21-03-2019,7
5,22-03-2019,9.7
5,23-03-2019,11.4
5,24-03-2019,11.5
5,25-03-2019,9
5,26-03-2019,7.8
5,27-03-2019,8.4
5,28-03-2019,9
5,29-03-2019,10.4
5,30-03-2019,10.8
5,31-03-2019,11.8
5,01-04-2019,12.5
5,02-04-2019,11.8
5,03-04-2019,7.3
5,04-04-2019,5.7
5,05-04-2019,7.6
5,06-04-2019,9.3
5,07-04-2019,9.1
5,08-04-2019,9.7
5,09-04-2019,10.3
5,10-04-2019,11.7
5,11-04-2019,11.5
5,12-04-2019,10.2
5,13-04-2019,7.9
5,14-04-2019,6.1
5,15-04-2019,9.5
5,16-04-2019,11.2
5,17-04-2019,13.3
